	GeneID1	GeneID2	Prots1list	Prots2list	Lv_support_unified	Lv_support_list	SupportedBy_unified	SupportedBy_list	Identity_min	Identity_max	Identity_list	e_val_min	e_val_max	e_val_list
0	ENSG00000001036	V3C99_017557	['NP_114409', 'NP_114409', 'NP_114409']	['XGW33157.1', 'XGW33159.1', 'XGW33158.1']	4	[4, 4, 4]	['B', 'F', 'O', 'S']	[['O', 'S', 'F', 'B'], ['O', 'S', 'F', 'B'], ['O', 'S', 'F', 'B']]	52.062	53.806	[53.806, 52.062, 52.062]	9.689999999999999e-146	1.44e-144	[1.44e-144, 1.2400000000000001e-145, 9.689999999999999e-146]
1	ENSG00000001084	V3C99_015237	['NP_001489', 'NP_001489', 'NP_001184044', 'NP_001184044']	['XGW03939.1', 'XGW03938.1', 'XGW03939.1', 'XGW03938.1']	4	[4, 3, 3, 3]	['B', 'F', 'O', 'S']	[['O', 'S', 'F', 'B'], ['O', 'S', 'B'], ['O', 'S', 'B'], ['O', 'S', 'B']]	51.741	55.031	[55.031, 54.589, 52.201, 51.741]	0.0	0.0	[0.0, 0.0, 0.0, 0.0]
2	ENSG00000001630	V3C99_004243	['NP_001139624', 'NP_000777']	['XGW21133.1', 'XGW21133.1']	1	[1, 1]	['S']	[['S'], ['S']]	23.529	23.529	[23.529, 23.529]	2.64e-12	3.07e-12	[3.07e-12, 2.64e-12]
3	ENSG00000001630	V3C99_004246	['NP_001139624', 'NP_000777']	['XGW21140.1', 'XGW21140.1']	1	[1, 1]	['S']	[['S'], ['S']]	0.0	0.0	[0.0, 0.0]	0.0	0.0	[0.0, 0.0]
4	ENSG00000001630	V3C99_012815	['NP_001139624', 'NP_001139624', 'NP_000777', 'NP_000777']	['XGW11623.1', 'XGW11624.1', 'XGW11623.1', 'XGW11624.1']	1	[1, 1, 1, 1]	['S']	[['S'], ['S'], ['S'], ['S']]	25.806	26.027	[26.027, 26.027, 25.806, 25.806]	3.94e-11	9.1e-11	[8.92e-11, 7.51e-11, 9.1e-11, 3.94e-11]
5	ENSG00000001630	V3C99_013232	['NP_001139624', 'NP_001139624', 'NP_000777', 'NP_000777']	['XGW12360.1', 'XGW12359.1', 'XGW12360.1', 'XGW12359.1']	1	[1, 1, 1, 1]	['S']	[['S'], ['S'], ['S'], ['S']]	26.908	26.908	[26.908, 26.908, 26.908, 26.908]	8.01e-14	1.57e-13	[8.01e-14, 8.01e-14, 1.57e-13, 1.57e-13]
6	ENSG00000001630	V3C99_013894	['NP_001139624', 'NP_001139624', 'NP_000777', 'NP_000777']	['XGW01298.1', 'XGW01299.1', 'XGW01298.1', 'XGW01299.1']	1	[1, 1, 1, 1]	['S']	[['S'], ['S'], ['S'], ['S']]	0.0	0.0	[0.0, 0.0, 0.0, 0.0]	0.0	0.0	[0.0, 0.0, 0.0, 0.0]
7	ENSG00000001630	V3C99_014110	['NP_001139624', 'NP_000777']	['XGW01742.1', 'XGW01742.1']	1	[1, 1]	['S']	[['S'], ['S']]	23.222	23.902	[23.902, 23.222]	3.8199999999999996e-23	1.17e-22	[1.17e-22, 3.8199999999999996e-23]
8	ENSG00000001630	V3C99_014759	['NP_001139624', 'NP_000777']	['XGW03002.1', 'XGW03002.1']	1	[1, 1]	['S']	[['S'], ['S']]	0.0	0.0	[0.0, 0.0]	0.0	0.0	[0.0, 0.0]
9	ENSG00000001630	V3C99_014761	['NP_001139624', 'NP_001139624', 'NP_000777', 'NP_000777']	['XGW03005.1', 'XGW03006.1', 'XGW03005.1', 'XGW03006.1']	1	[1, 1, 1, 1]	['S']	[['S'], ['S'], ['S'], ['S']]	26.404	26.966	[26.966, 26.966, 26.404, 26.404]	2.66e-13	4.75e-13	[2.66e-13, 2.66e-13, 4.75e-13, 4.75e-13]
