	Human	Haecon	Lv_support	SupportedBy	Identity	e_val
0	NP_001035232.1	XGW32377.1	3	['S', 'F', 'B']	28.803	4.75e-14
1	NP_001035232.1	XGW32513.1	2	['O', 'S']	26.129	1.14e-16
2	NP_001035232.1	XGW32512.1	2	['O', 'S']	26.38	6.41e-11
3	NP_001035232.1	XGW32514.1	2	['O', 'S']	26.129	1.43e-16
4	NP_001035232.1	XGW32511.1	2	['O', 'S']	26.129	1.55e-16
5	NP_001035232.1	XGW27419.1	2	['O', 'S']	24.746	1.68e-14
6	NP_001035232.1	XGW32515.1	2	['O', 'S']	26.38	6.1e-11
7	NP_001035232.1	XGW27420.1	2	['O', 'S']	24.746	1.86e-14
8	NP_001035232.1	XGW32510.1	2	['O', 'S']	26.129	1.26e-16
9	NP_112534.1	XGW07785.1	2	['O', 'S']	28.731	4.0399999999999996e-24
10	NP_112534.1	XGW07786.1	2	['O', 'S']	28.114	4.85e-25
11	NP_112534.1	XGW07784.1	2	['O', 'S']	28.114	4.85e-25
12	NP_002074.2	XGW24960.1	2	['O', 'B']	34.574	2.15e-34
13	NP_757385.1	XGW05593.1	3	['O', 'S', 'F']	56.928	6.3e-141
14	NP_757385.1	XGW05592.1	3	['O', 'S', 'F']	45.582	2.94e-142
15	NP_002988.4	XGW32556.1	1	['B']	50.82	1.72e-12
16	NP_002988.4	XGW32555.1	1	['B']	50.82	1.64e-12
17	NP_001073933.2	XGW03569.1	3	['O', 'S', 'B']	41.563	1.23e-147
18	NP_001073933.2	XGW03571.1	3	['O', 'S', 'B']	41.563	2.76e-148
19	NP_001073933.2	XGW03570.1	3	['O', 'S', 'B']	41.563	2.76e-148
20	NP_001073933.2	XGW03568.1	3	['O', 'S', 'B']	41.563	5.88e-147
21	NP_001350049.1	XGW04869.1	3	['O', 'S', 'B']	31.519	2.85e-50
22	NP_001350049.1	XGW04853.1	3	['O', 'S', 'B']	29.817	7.73e-47
23	NP_001350049.1	XGW04854.1	3	['O', 'S', 'B']	30.046	4.53e-46
24	NP_005733.1	XGW33668.1	1	['B']	0.0	0.0
25	NP_005733.1	XGW23835.1	3	['O', 'S', 'B']	56.552	2.2999999999999998e-176
26	NP_005733.1	XGW28078.1	1	['B']	0.0	0.0
27	NP_005733.1	XGW28077.1	1	['B']	0.0	0.0
