WormGEMid	GeneID1
pfas-1	V3C99_000006
egl-5	V3C99_000008
ppm-1.G	V3C99_000011
gly-5	V3C99_000014
abce-1	V3C99_000015
NNNNNN	V3C99_000017
T12B3.3	V3C99_000022
NNNNNN	V3C99_000022
NNNNNN	V3C99_000023
magu-1	V3C99_000024
ser-4	V3C99_000025
rnr-1	V3C99_000041
ift-139	V3C99_000042
NNNNNN	V3C99_000043
NNNNNN	V3C99_000045
pcaf-1	V3C99_000051
F47G4.4	V3C99_000054
NNNNNN	V3C99_000057
osg-1	V3C99_000064
lit-1	V3C99_000065
NNNNNN	V3C99_000069
NNNNNN	V3C99_000070
Y32H12A.8	V3C99_000072
Y32H12A.7	V3C99_000074
NNNNNN	V3C99_000075
ugt-60	V3C99_000076
fli-1	V3C99_000077
anmt-1	V3C99_000078
swp-1	V3C99_000079
NNNNNN	V3C99_000082
T28D6.7	V3C99_000085
mdh-2	V3C99_000087
mrps-31	V3C99_000088
ptp-1	V3C99_000096
NNNNNN	V3C99_000098
NNNNNN	V3C99_000100
tim-1	V3C99_000105
Y44F5A.1	V3C99_000106
zhit-2	V3C99_000107
mrpl-21	V3C99_000108
NNNNNN	V3C99_000111
lron-5	V3C99_000112
F56A8.3	V3C99_000114
F56A8.9	V3C99_000115
K11H3.3	V3C99_000116
Y37B11A.3	V3C99_000116
slc-36.1	V3C99_000117
Y43F4B.5	V3C99_000120
npp-18	V3C99_000121
unc-64	V3C99_000122
ubc-7	V3C99_000123
rpac-19	V3C99_000124
tbg-1	V3C99_000125
nipa-1	V3C99_000126
T19C3.4	V3C99_000128
mog-1	V3C99_000129
T19C3.4	V3C99_000130
NNNNNN	V3C99_000131
K03H1.13	V3C99_000132
teg-1	V3C99_000135
rab-35	V3C99_000136
eef-1B.2	V3C99_000139
NNNNNN	V3C99_000140
sup-26	V3C99_000151
nex-2	V3C99_000152
nex-2	V3C99_000153
ccdc-55	V3C99_000154
rnf-121	V3C99_000155
rnf-5	V3C99_000156
odr-4	V3C99_000157
imph-1	V3C99_000158
NNNNNN	V3C99_000160
mlc-3	V3C99_000161
rpc-2	V3C99_000162
mlc-4	V3C99_000163
NNNNNN	V3C99_000164
elmd-1	V3C99_000165
tir-1	V3C99_000166
NNNNNN	V3C99_000167
spop-1	V3C99_000168
mpk-1	V3C99_000172
dagl-2	V3C99_000186
alh-11	V3C99_000187
chin-1	V3C99_000188
nra-4	V3C99_000189
Y50D7A.10	V3C99_000192
NNNNNN	V3C99_000193
ads-1	V3C99_000194
NNNNNN	V3C99_000195
NNNNNN	V3C99_000196
nmad-1	V3C99_000202
kin-18	V3C99_000203
nmad-1	V3C99_000204
NNNNNN	V3C99_000206
chc-1	V3C99_000207
pvf-1	V3C99_000208
rsp-3	V3C99_000213
rsp-3	V3C99_000214
NNNNNN	V3C99_000217
B0464.9	V3C99_000218
set-17	V3C99_000219
sbp-1	V3C99_000222
emb-30	V3C99_000223
pir-2	V3C99_000225
dhhc-8	V3C99_000226
Y73B6BL.29	V3C99_000227
cul-4	V3C99_000228
atx-2	V3C99_000231
gpch-1	V3C99_000241
prdx-3	V3C99_000242
rnp-4	V3C99_000243
snfc-5	V3C99_000244
NNNNNN	V3C99_000245
pac-1	V3C99_000247
NNNNNN	V3C99_000250
NNNNNN	V3C99_000252
NNNNNN	V3C99_000253
ima-2	V3C99_000261
NNNNNN	V3C99_000262
gbf-1	V3C99_000264
immp-1	V3C99_000265
C46F11.4	V3C99_000266
F17C8.9	V3C99_000277
him-18	V3C99_000279
NNNNNN	V3C99_000281
dac-1	V3C99_000283
NNNNNN	V3C99_000284
NNNNNN	V3C99_000285
cul-1	V3C99_000287
D2045.9	V3C99_000288
D2045.7	V3C99_000289
pes-4	V3C99_000290
hpo-10	V3C99_000291
F09G8.5	V3C99_000293
NNNNNN	V3C99_000294
ceh-44	V3C99_000295
ndua-8	V3C99_000296
rbc-2	V3C99_000297
NNNNNN	V3C99_000298
exos-9	V3C99_000299
pfd-5	V3C99_000300
NNNNNN	V3C99_000302
NNNNNN	V3C99_000303
NNNNNN	V3C99_000304
tkr-1	V3C99_000305
pdfr-1	V3C99_000306
C14B9.8	V3C99_000306
exos-8	V3C99_000309
R10E11.6	V3C99_000310
vha-2	V3C99_000311
vha-3	V3C99_000311
vha-1	V3C99_000312
sqv-3	V3C99_000313
NNNNNN	V3C99_000316
NNNNNN	V3C99_000319
NNNNNN	V3C99_000324
mcm-6	V3C99_000329
cor-1	V3C99_000331
NNNNNN	V3C99_000332
mrpl-30	V3C99_000334
W04B5.5	V3C99_000335
Y54F10BM.13	V3C99_000336
ppm-1.D	V3C99_000337
NNNNNN	V3C99_000338
NNNNNN	V3C99_000339
cct-5	V3C99_000341
atf-7	V3C99_000342
NNNNNN	V3C99_000343
dcn-1	V3C99_000345
mdt-21	V3C99_000346
dib-1	V3C99_000347
ran-2	V3C99_000348
NNNNNN	V3C99_000350
citk-2	V3C99_000350
cdd-2	V3C99_000351
Y75B8A.24	V3C99_000358
psme-3	V3C99_000362
Y66D12A.10	V3C99_000363
anp-1	V3C99_000364
NNNNNN	V3C99_000371
NNNNNN	V3C99_000372
rgr-1	V3C99_000373
NNNNNN	V3C99_000375
NNNNNN	V3C99_000376
rbg-3	V3C99_000377
rps-0	V3C99_000378
cox-6B	V3C99_000381
nduc-2	V3C99_000382
tbcc-1	V3C99_000383
NNNNNN	V3C99_000386
rps-5	V3C99_000387
mcm-5	V3C99_000388
T23G11.7	V3C99_000402
Y34B4A.2	V3C99_000402
vps-41	V3C99_000403
hsp-16.41	V3C99_000406
hsp-16.48	V3C99_000406
hsp-16.49	V3C99_000406
inf-1	V3C99_000408
mrpl-11	V3C99_000410
NNNNNN	V3C99_000414
gfi-3	V3C99_000415
such-1	V3C99_000415
ras-2	V3C99_000416
mrps-10	V3C99_000422
F42A10.9	V3C99_000423
NNNNNN	V3C99_000424
tbx-9	V3C99_000427
NNNNNN	V3C99_000430
mdt-19	V3C99_000431
NNNNNN	V3C99_000434
rml-1	V3C99_000456
NNNNNN	V3C99_000461
NNNNNN	V3C99_000471
NNNNNN	V3C99_000472
NNNNNN	V3C99_000476
NNNNNN	V3C99_000480
tyr-1	V3C99_000492
Y50D7A.13	V3C99_000498
NNNNNN	V3C99_000499
NNNNNN	V3C99_000501
nud-1	V3C99_000506
acaa-2	V3C99_000507
cya-1	V3C99_000508
NNNNNN	V3C99_000509
fbn-1	V3C99_000510
NNNNNN	V3C99_000511
NNNNNN	V3C99_000512
lonp-2	V3C99_000513
nud-1	V3C99_000516
cya-1	V3C99_000517
NNNNNN	V3C99_000518
wrn-1	V3C99_000519
NNNNNN	V3C99_000528
cnx-1	V3C99_000531
panl-3	V3C99_000532
NNNNNN	V3C99_000533
NNNNNN	V3C99_000534
NNNNNN	V3C99_000535
NNNNNN	V3C99_000536
NNNNNN	V3C99_000537
NNNNNN	V3C99_000538
NNNNNN	V3C99_000539
NNNNNN	V3C99_000540
NNNNNN	V3C99_000541
ckk-1	V3C99_000547
NNNNNN	V3C99_000558
vps-16	V3C99_000559
txdc-9	V3C99_000560
clec-149	V3C99_000569
NNNNNN	V3C99_000572
frm-8	V3C99_000573
NNNNNN	V3C99_000577
F40G9.17	V3C99_000578
sec-20	V3C99_000579
ubc-20	V3C99_000580
cox-17	V3C99_000580
mxl-2	V3C99_000581
NNNNNN	V3C99_000585
B0393.3	V3C99_000588
mat-3	V3C99_000589
C36E8.4	V3C99_000593
NNNNNN	V3C99_000594
hsp-25	V3C99_000595
rpc-1	V3C99_000596
ets-4	V3C99_000597
NNNNNN	V3C99_000598
NNNNNN	V3C99_000599
ubq-2	V3C99_000601
frg-1	V3C99_000602
let-711	V3C99_000603
rpn-6.1	V3C99_000604
riok-3	V3C99_000605
NNNNNN	V3C99_000606
lgc-42	V3C99_000607
ani-1	V3C99_000611
him-6	V3C99_000612
ZC262.2	V3C99_000614
