	WormGEMid	GeneID1
2	pfas-1	V3C99_000006
3	egl-5	V3C99_000008
4	ppm-1.G	V3C99_000011
5	gly-5	V3C99_000014
6	abce-1	V3C99_000015
7	NNNNNN	V3C99_000017
29	T12B3.3	V3C99_000022
30	NNNNNN	V3C99_000022
33	NNNNNN	V3C99_000023
37	magu-1	V3C99_000024
38	ser-4	V3C99_000025
46	rnr-1	V3C99_000041
47	ift-139	V3C99_000042
48	NNNNNN	V3C99_000043
49	NNNNNN	V3C99_000045
53	pcaf-1	V3C99_000051
57	F47G4.4	V3C99_000054
59	NNNNNN	V3C99_000057
63	osg-1	V3C99_000064
64	lit-1	V3C99_000065
65	NNNNNN	V3C99_000069
66	NNNNNN	V3C99_000070
67	Y32H12A.8	V3C99_000072
68	Y32H12A.7	V3C99_000074
69	NNNNNN	V3C99_000075
70	ugt-60	V3C99_000076
71	fli-1	V3C99_000077
72	anmt-1	V3C99_000078
73	swp-1	V3C99_000079
74	NNNNNN	V3C99_000082
75	T28D6.7	V3C99_000085
76	mdh-2	V3C99_000087
77	mrps-31	V3C99_000088
79	ptp-1	V3C99_000096
80	NNNNNN	V3C99_000098
81	NNNNNN	V3C99_000100
82	tim-1	V3C99_000105
83	Y44F5A.1	V3C99_000106
84	zhit-2	V3C99_000107
85	mrpl-21	V3C99_000108
87	NNNNNN	V3C99_000111
88	lron-5	V3C99_000112
90	F56A8.3	V3C99_000114
91	F56A8.9	V3C99_000115
92	K11H3.3	V3C99_000116
93	Y37B11A.3	V3C99_000116
94	slc-36.1	V3C99_000117
96	Y43F4B.5	V3C99_000120
98	npp-18	V3C99_000121
99	unc-64	V3C99_000122
100	ubc-7	V3C99_000123
101	rpac-19	V3C99_000124
102	tbg-1	V3C99_000125
103	nipa-1	V3C99_000126
104	T19C3.4	V3C99_000128
105	mog-1	V3C99_000129
106	T19C3.4	V3C99_000130
107	NNNNNN	V3C99_000131
108	K03H1.13	V3C99_000132
110	teg-1	V3C99_000135
112	rab-35	V3C99_000136
114	eef-1B.2	V3C99_000139
116	NNNNNN	V3C99_000140
121	sup-26	V3C99_000151
122	nex-2	V3C99_000152
123	nex-2	V3C99_000153
124	ccdc-55	V3C99_000154
125	rnf-121	V3C99_000155
126	rnf-5	V3C99_000156
127	odr-4	V3C99_000157
128	imph-1	V3C99_000158
130	NNNNNN	V3C99_000160
131	mlc-3	V3C99_000161
