Protein_ID	Geneid	gene_ID	Chr	Start	End	Strand	Length	egg_TPM	L1_TPM	L2_TPM_mean	L3_TPM_mean	L4f_TPM	L4m_TPM	Af_TPM_mean	Am_TPM_mean
XGW13395.1	Hcon5G00000009530.1	V3C99_000041	Hc_chr3	820478	825837	-	3624	55.12224146532043	1.9248084811321928	3.3531588115311335	1.0487731483271077	12.904923612062692	0.8312344358711877	0.438358289931172	0.0420288222807124
XGW13484.1	Hcon5G00000009576.1	V3C99_000087	Hc_chr3	1646516	1650931	+	1017	0.0	864.8147191633389	1339.5915328935955	484.6228420599584	1082.0035420214003	0.0	0.0	0.0
XGW13538.1	Hcon5G00000009605.1	V3C99_000116	Hc_chr3	2099948	2104702	+	2301	0.0	4.640831071929329	97.7759304499665	24.830771803933057	0.0	0.0	0.0	0.0
XGW13550.1	Hcon5G00000009610.1	V3C99_000121	Hc_chr3	2150393	2154100	-	1119	364.7442981077095	43.25107664272734	30.413444491119307	58.46382787124628	147.9837479255433	21.71579535700085	128.29900056413206	43.57010439786439
XGW13555.1	Hcon5G00000009613.1	V3C99_000124	Hc_chr3	2195117	2197046	+	327	0.2746834684596193	1.3167791625369172	0.2429483946151556	0.8928325303828836	0.0	0.0	0.0	0.0
XGW13614.1	Hcon5G00000009651.1	V3C99_000162	Hc_chr3	2644924	2670667	+	3422	4.960918293749226	0.2013263757566671	0.4332388041098695	9.744795333822587	2.8352824941454196	0.3227774162436102	10.826302308966504	5.071806842805479
XGW13663.1	Hcon5G00000009675.1	V3C99_000186	Hc_chr3	3161430	3173229	+	2166	11.113647480114128	8.82643273547599	18.134226554537836	30.742778642751837	21.23930657285471	15.62290922924363	132.21792900037806	102.93428592222632
XGW13680.1	Hcon5G00000009683.1	V3C99_000194	Hc_chr3	3227290	3240551	+	1919	0.514870472146561	1.5706657128957808	0.8237850257515245	0.007984793155703	0.3976577036539359	0.3139545175192479	0.0	0.0
XGW14041.1	Hcon5G00000009870.1	V3C99_000381	Hc_chr3	5766017	5768584	+	366	2283.331098112824	4447.043856954595	3154.439881729547	1794.9804751145598	1688.541374217478	1565.7313524656763	115.3994292414115	200.01540710219493
XGW14229.1	Hcon5G00000009996.1	V3C99_000507	Hc_chr3	7804594	7807354	+	1179	513.7880888824233	62.816732160921426	387.9918746757549	64.43244554444699	130.55912374123437	43.606036781050555	127.49700600718916	46.77201938736462
XGW14409.1	Hcon5G00000010085.1	V3C99_000596	Hc_chr3	9433368	9447212	-	3999	1.9541060250581923	1.8089167310109548	2.9128000986931495	9.1385925977535	6.351712787542364	3.0884755543757074	42.42594212257169	24.04978912667963
XGW14462.1	Hcon5G00000010115.1	V3C99_000626	Hc_chr3	9841992	9850122	+	1432	0.0	0.7817916508302284	0.0	0.0	0.0	0.2804835750090488	0.0	0.0
XGW14543.1	Hcon5G00000010158.1	V3C99_000669	Hc_chr3	10453125	10464900	-	4597	0.0	0.0	0.0	0.0	0.0	4.718127885207684	0.0	0.0
XGW14947.1	Hcon5G00000010372.1	V3C99_000883	Hc_chr3	14099196	14100708	-	546	347.6058923363415	1041.4522157309975	2346.15542263077	1936.903064193724	2550.472258745748	1820.125727449654	1035.2659213356544	1092.3700514832228
XGW15150.1	Hcon5G00000010482.1	V3C99_000993	Hc_chr3	15741081	15791495	-	8297	0.0	0.0	0.0	0.001431824167276	0.0	0.0	0.0153409429922117	0.0
XGW15162.1	Hcon5G00000010488.1	V3C99_000999	Hc_chr3	15838717	15841638	-	1026	104.52910726943162	19.388995633635695	21.91623378774305	12.599977114956989	54.720014432697035	11.352750392763914	21.45410608537961	5.235078084363389
